,name,address,plz,ort,rooms,sqm,price,currency,description,gemeinde,latlong,kreis,lat,long,pricesqm
11,Motorradabstellplatz im Freien in Wollishofen,Mutschellenstr. 69a+b,8038.0,Zürich,0.0,,30.0,CHF,"Wir vermieten per sofort oder nach Vereinbarung einen Motorradplatz an der Mutschellenstrasse 69b in Zürich. Mietzins: CHF 30.00 exkl. MwSt. Bei Interesse dürfen Sie sich gerne an uns wenden. Wir freuen uns schon jetzt, Sie schon bald zu unseren geschätzten Mieter zählen zu dürfen.","Zürich, Kreis 2","(47.3528728, 8.5271436)",2,47.3528728, 8.5271436,
14,Verschiedene WG-Zimmer in Einfamilienhaus:,Kleinbühlstrasse 1,8052.0,Zürich,2.0,180.0,900.0,CHF,"5 Gehminuten vom Bahnhof OerlikonVerschiedene WG-Zimmer in Einfamilienhausriesiges Zimmer mit separatem Eingang und eigenem WC: Fr. 1200 inkl.mittleres Zimmer: Fr. 900 inkl.eine kleine gemeinsame Küche, kleineres Badschöner verwunschener Garten zur Exklusivbenutzungwegen Umbau befristeter Mietvertrag bis 01.09.17Besichtigungstermin nach Vereinbarung078/770 56 67 (nur SMS) oder ohenry@gmx.net","Zürich, Kreis 11","(47.4163025, 8.55011255630828)",1,47.4163025, 8.55011255630828,5.0
15,Gemüliches Reihenhaus,"Rudenzweg, 18",8048.0,Zürich,4.5,100.0,2900.0,CHF,"Biete per 15.Juli oder etwas früher, ein 4,5 Zimmer Reihenhaus mitten in der Stadt, mit Garten. Das Haus liegt direkt beim Einkaufszentrum Letzipark in Altstetten.Es ist für Familien ideal, 20er Zone Kinderfreundlich und Kindski, Hort, Schule direkt zu Fuss erreichbar. Das Haus liegt in einer kleinen Gemeinschaft und man denkt nicht, dass man mitten in der Stadt ist, nette Nachbarn und viel kreative Möglichkeiten.Der Garten inkl. Möbel, Hollywoodschaukel, Cheminee, Rasenmäher, Schlauch, Pflanzen kann gratis übernommen werden. Alle Beleuchtungen im und vor dem Haus sind inklusive, auch teilweise Möbel können übernommen werden, weil sie mit im Haus waren.Eigene Waschküche mit neuer Waschmaschine und Lufttrockener.Ein Keller ist auch dabei. Parkmöglichkeiten blaue Zone oder ein eigener Parkplatz vor dem Haus kann dazu gemietet werden.Nicht WG geeignetBus 83, 89, 95, in der nähe Busse 31, 32 72Tram 2, Tram 3 +8 sowie diverse Busse in alle Richtungen von ZH (Oerlikon, City usw.)Einkauf, 1 min LetziparkFr. 2900,- inkl. NK","Zürich, Kreis 9","(47.384853625, 8.4980124)",9,47.384853625, 8.4980124,29.0
17,Reihen - Einfamilienhaus mit Garten und Gartensitzplatz,Stotzstrasse 62,8041.0,Zürich,5.0,110.0,3250.0,CHF,"Das Reihenmittelhaus ist umgeben von einer grünen Oase und liegt an einer ruhigen Privatstrasse ohne Durchgangsverkehr. Vor dem Haus befindet sich ein Garten mit einem kleinen Gartensitzplatz sowie Gartenbeete wo ein Gemüsegarten angelegt werden kann. Wasser für die Bewässerung ist reichlich vorhanden von einem Brunnen welcher durch Regenwasser (Wasserspeicher) gespeist wird. Der eigentliche besonnte Gartensitzplatz mit viel Platz liegt auf der Südseite des Hauses mit direktem Zugang zum Wohnbereich.Im Eingangsgeschoss empfängt sie ein grosses Entrèe. Ebenfalls im Eingangsgeschoss befindet sich das Gäste WC mit Dusche und Waschmaschine mit Tumbler sowie Keller und Abstellraum. Mit dem Auto parkieren Sie bequem auf dem eigenen Parkplatz direkt vor dem Haus. Im Mietpreis ist der Parkplatz inbegriffen!Im Erdgeschoss befindet sich das das Wohn - und Esszimmer sowie die moderne Küche. Vom Wohnzimmer gelangt man direkt zum Gartensitzplatz.Die drei Schlafzimmer und das Badezimmer befindet sich im obersten Geschoss. Stauraum ist im Estrich genügend vorhandenLeimbach ist ein Quartier der Stadt Zürich und liegt am Fuss des Uetlibergs im Sihltal. Zusammen mit Enge und Wollishofen bilden sie den Kreis 2 der Stadt Zürich. Das Naherholungsgebiet Uetliberg und Felsenegg liegt direkt vor der HaustüreKreis 2Der Kreis 2 liegt eingebettet zwischen Zürichsee und Uetliberg. Seine Attraktivität erhält der Kreis durch seine Nähe zu den Naherholungsgebieten und zur Seeuferlinie. Durch den genossenschaftlichen Wohnungsbau wird das Quartier Leimbach seit einigen Jahren belebt. In der Enge entsteht mehr Platz für eine dichtere Bebauung. Das Manegg- und das Hürlimann-Areal, ehemalige Industrie- Standorte, werden zudem gut erschlossen.Quelle: www.stadt-zuerich.ch","Zürich, Kreis 2","(47.3317987, 8.51296627522046)",2,47.3317987, 8.51296627522046,29.545454545454547
18,Topmodernes Wohnatelier im Loftstil,Hagenholzstrasse 74,8050.0,Zürich,1.0,110.0,2000.0,CHF,"Ob sportbegeisterter Single oder unternehmenslustiges Pärchen folgende Vorzüge hat diese Wohnung und deren Umgebung zu bieten: grosszügiger und heller Raum offener Wohn- und Schlafbereiche (gut abtrennbar) mit Parkettboden grosse Glasfronten moderne, grosszügige Küche mit Glaskeramik und Geschirrspüler Bad/WC und separate DU/WC sonniger Gartensitzplatz in einem wachsenden, neuen Quartier, Nähe Glattpark in 20 Minuten mit den öffentlichen Verkehrsmitteln im Stadtkern  von Zürich Glatttalbahn und Tram in unmittelbarer Nähe Garagenplatz kann für CHF 160.00 monatlich dazu gemietet werdenHaben wir Ihr Interesse geweckt. Dann zögern Sie nicht, sich mit uns in Verbindung zu setzen.*Es handelt sich nicht um Originalbilder*","Zürich, Kreis 11","(47.4137729, 8.5567571)",1,47.4137729, 8.5567571,18.181818181818183
19,Motorradeinstellplätze im MainTower,Thurgauerstrasse 36/38,8050.0,Zürich,0.0,,45.0,CHF,"Im 2. Untergeschoss des MainTower vermieten wir per sofort oder nach Vereinbarung Motorradplätze zu einem Mietzins von CHF 45.00/Monat.Bei Interesse zögern Sie bitte nicht, uns zu kontaktieren. Wir haben bestimmt den für Sie passenden Motorradplatz im Angebot.","Zürich, Kreis 11","(47.4139978, 8.5514051)",1,47.4139978, 8.5514051,
20,Motorradabstellplatz in Zürich-Affoltern zu vermieten!,Schwandenholzstrasse 234-240,8046.0,Zürich,0.0,,25.0,CHF,"Per sofort oder nach Vereinbarung vermieten wir an der Schwandenholzstrasse 234 - 240, in 8046 Zürich einen Motorradabstellplatz in unserer Tiefgarage.Wenn Sie an diesem Mietobjekt interessiert sind, dürfen Sie sich gerne telefonisch unter der Nummer 044 878 77 68 oder per E-Mail unter nina.garamendi@bilfinger.com mit uns in Verbindung setzen.","Zürich, Kreis 11","(47.4224099, 8.5367685)",1,47.4224099, 8.5367685,
21,Motorradeinstellplätze am Seebacherplatz,Schaffhauserstrasse 472-476,8052.0,Zürich,0.0,12.0,45.0,CHF,"Wir vermieten Motorradeinstellplätze in der Halle beim Migros Seebach, an der Schaffhauserstrasse 472-476, 8052 Zürich. Verfügbar per sofort oder nach Vereinbarung. Mietzins monatlich: CHF 45.00 / exkl. 8 % MwStSind Sie interessiert? Betreffend einer Besichtigung rufen Sie bitte unseren Hauswart an, Herrn Giorgio, Tel. 044 321 64 66.","Zürich, Kreis 11","(47.3911555, 8.5356119)",1,47.3911555, 8.5356119,3.75
23,Motorradeinstellplatz zu vermieten!,Katzenbachstrasse 221 - 231,8052.0,Zürich,0.0,165.0,50.0,CHF,Wir vermieten per sofort oder nach Vereinbarung einen Motorradeinstellplatz in Zürich Seebach. Haben wir Ihr Interesse geweckt? Wir freuen uns auf Ihre Kontaktaufnahme.,"Zürich, Kreis 11","(47.4217111, 8.5485943)",1,47.4217111, 8.5485943,0.30303030303030304
24,Ihr Motorradparkplatz Nähe Bahnhof Oerlikon steht für Sie bereit!,Neunbrunnenstrasse 110-120,8050.0,Zürich,0.0,34.0,40.0,CHF,"Guten TagSind Sie auf der Suche nach einem Parkplatz für Ihr Motorrad??Kein Problem! Wir haben die Lösung:Bei uns können Sie Ihren persönlichen Parkplatz in einer Einstellhalle mieten. An der Neunbrunnenstrasse 110-140, 8050 Zürich haben wir noch freie Motorradparkplätze.Rufen Sie uns an und Ihr Parkplatz-Problem ist gelöst.Mietzins CHF 40.00 zuzüglich 8% MWSt.","Zürich, Kreis 11","(47.4156381, 8.5293338)",1,47.4156381, 8.5293338,1.1764705882352942
25,gemütliche Singlewohnung in lebhaftem Quartier,Militärstr. 105,8004.0,Zürich,1.0,29.0,1093.0,CHF,"- Küche und Bad wurde im Jahr 2012 saniert- Ganze Wohnung neu verlegter Riemenparkettboden- Schöne, offene Einbauküche mit 4-Platten Herd, grosser Kühlschrank- Schönes helles Bad miit Wanne, Spiegelschrank, Abluftventilator- Wandschrank im Korridor mit viel Stauraum- kein Balkon- Lift- Katzen und Hundehaltung nicht erlaubtDie Bilder sind nicht objektspezifisch","Zürich, Kreis 4","(47.3790011, 8.5288494)",4,47.3790011, 8.5288494,37.689655172413794
26,Freie Motorradeinstellplätze in Zürich-Oerlikon,Ruedi Walter-Str. 4a,8050.0,Zürich,0.0,27.0,50.0,CHF,Wir vermieten in der Liegenschaft Binzmühlepark in Zürich-Oerlikon für CHF 50.00 (exkl. MWST) Motorradplätze.,"Zürich, Kreis 11","(47.4154488, 8.5419266)",1,47.4154488, 8.5419266,1.8518518518518519
27,Möbliertes Zimmer im Herzen von Zürich - Furnished room in the heart of Zürich,Rautistrasse 12,8047.0,Zürich,1.0,20.0,1090.0,CHF,"Konditionen:Mietvertrag: CHF 1090 + einmalige Kaution CHF 2‘000+ einmalige Endreinigung CHF 150, Kündigungsfrist: 3 Monate (Doppelzimmer nur CHF 60 mehr)1 Monat Mietdauer: CHF 1'250+ einmalige Endreinigung CHF 150 (Doppelzimmer nur CHF 50 mehr)2- 3 Monate Mietdauer je: CHF 1'150+ einmalige Endreinigung CHF 150(Doppelzimmer nur CHF 50 mehr)Anmeldung: Online Anmeldung auf www.primestay.ch oder via Kontaktformular von hier Kontakt: Primestay Schweiz AG, zuerich@primestay.ch, +41 44 495 70 95 +41 79 800 70 95 Besichtigungstermine: Bitte vermerken Sie in Ihrer Anfrage einen Terminvorschlag, falls Sie gerne unser Primestay besichtigen möchten.  Wir sind unter der Woche von 8.00 - 12.00 Uhr & von 13.00 - 17.00 Uhr verfügbar. Terminanfragen ausserhalb dieser Zeiten nur nach spezieller Vereinbarung.-Top-Lage mit direkter ÖV-Anbindung (Bahnhof Altstetten / Hauptbahnhof) -akzeptierter Wohnsitz beim Kreisbüro-Zimmergrösse: 20 qm, Bettgrösse: 140 x 200 cm, ruhige & angenehme Atmosphäre mit Sicherheitsdienst in der Nacht, tägliche Grundreinigung-Zimmeraustattung: Bett- und Bettwäsche, Frotteewäsche, LAN, Flat Screen TV, Kühlschrank, Wandschrank, Arbeitstisch und Bürostuhl-Küchen, Terasse, Duschen & Toiletten in Gemeinschaftsnutzung. Die Gemeinschaftsküchen sind mit abschliessbaren Boxen pro Mieter aufgeteilt. Jeder Mieter erhält seine eigenen Kochutensilien (befristete Mieter können diese mieten). Die Duschen & Toiletten sind auf jedem Stockwerk nach m /w unterteilt-Waschmaschinen, Tumbler (mit aufladbarer Chipkarte), Bügeleisen & Staubsauger kostenlos vorhanden**********************************************************************************instant move-in possible!conditions:rental contract: CHF 1090 + deposit CHF 2‘000+ one-time end cleaning CHF 150, period of notice: 3 months (double room only CHF 60 more)1 month stay: CHF 1'250+ one-time end cleaning CHF 150 (double room only CHF 50 more)2- 3 month stay each: CHF 1'150+ one-time end cleaning CHF 150(double room only CHF 50 more)Application: Online application on www.primestay.ch or via contact form from here Contact: Primestay Schweiz AG, zuerich@primestay.ch, +41 44 495 70 95 +41 79 800 70 95 Viewing: Please leave in the note a suggest when we could meet each other. We are there for you from 8 - 12 a.m. and from 1 - 5 p.m. Off-peak-hours-meetings just after special agreement.-Top-Location with direct connection (train station Altstetten / main train station of Zürich)-accepted for dwelling place by the registration office -Room size: 20 qm, bed size: 140 x 200 cm, quiet & cosy atmosphere with security service in the night, daily cleaning service-Room settings: bed & bed liners, towels, LAN, Flat Screen TV, fridge, wardrobe, work table and office seat-Kitchen, terrace, showers & toilets in shared using. Showers & toilets are separeted for m / w The kitchens are including boxes with kitchenstuff or to store the tenants kitchen stuff (for monthly residents for renting).-Wash machines, dryers (with chip-card), iron & vacuum cleaner are free available","Zürich, Kreis 9","(47.3803243, 8.4940369)",9,47.3803243, 8.4940369,54.5
28,Motorradeinstellplätze in der Nähe vom Bahnhof Zürich Affoltern,"Mühlackerstr. 102, 8046 Zürich",8046.0,Zürich,0.0,,60.0,CHF,Per Sofort oder nach Vereinbarung vermieten wir Motorradeinstellplätze in der Tiefgarage an der Mühlackerstrasse 102 in 8046 Zürich.Die Plätze kosten 60.00 CHF exklusive MWSt.Haben wir Ihr Interesse geweckt? Wir freuen uns auf Ihre Kontaktaufnahme.BVK - Die Pensionskasse mit attraktivem Wohnraum in der ganzen Schweiz. Tagesaktuell auf bvk-immobilien.ch.,"Zürich, Kreis 11","(47.4253204, 8.5005587)",1,47.4253204, 8.5005587,
29,Nähe Uni - Befristet bis 30.09.2017,Obstgartenstr. 36,8006.0,Zürich,1.0,28.0,870.0,CHF,"Per 1. Juli 2017 vermieten wir eine 1.5-Zimmer-Altbau-Wohnung befristet bis 30.09.2017. Die Wohnung verfügt über eine abgeschlossene Küche, Bad/WC, Kellerabteil. Ebenfalls ist ein Lift vorhanden.Bei den inserierten Fotos handelt es sich um eine ähnliche Wohnung. Abweichungen können daher vorkommen. Haben wir Ihr Interesse geweckt?Besichtigungstermine:- Mittwoch, 28. Juni 2017 von 18.00 - 18.30 UhrKlingeln bei Mieter Dieter!","Zürich, Kreis 6","(47.3833361, 8.542788751487)",6,47.3833361, 8.542788751487,31.071428571428573
30,Attraktives Ladenlokal,Dachslernstrasse 46,8048.0,Zürich,0.0,67.0,123.0,CHF,Ladenlokal und Lagerräume zu vermieten.Parkplätze können dazugemietet werden.Für weitere Angaben dürfen Sie sich gerne mit uns in Verbindung setzen.,"Zürich, Kreis 9","(47.3894865, 8.479078)",9,47.3894865, 8.479078,1.835820895522388
32,Mit Coworking inspirierend Arbeiten für Ihre persönlichen Projekte!,Leutschenbachstrasse 95,8050.0,Zürich,0.0,,86.0,CHF,"Das Regus Business Center im World Trade Center ist ein architektonisches Wahrzeichen im schnell wachsenden Geschäftsdistrikt Zürich-Nord. Dieses Zürcher Geschäftsviertel ist Sitz vieler nationaler und internationaler Unternehmen sowie des Schweizer Fernsehens. Das Regus Center WTC liegt ausgezeichnet zwischen internationalem Flughafen Zürich und Innenstadt.http://www.de.regus.ch/locations/office-space/zurich-world-trade-centerRegus Schweiz bietet Büroflächen von 5m2 bis zu mehr als 100m2. Jetzt Termin vereinbaren +41 (0)43 508 04 27!* Preis ""ab"" pro Person pro Monat für 1 Arbeitsplatz in einem voll ausgestatteten und gemeinsamen Büro. Angebot gültig je nach Verfügbarkeit und im Rahmen eines 24-Monats-Vertrages . Der Preis pro Quadratmeter berücksichtigt den Zugang zu öffentlichen Bereichen wie die Küche, die Business-Lounge und den Empfang mit hoch qualifiziertem, mehrsprachigem Personal. Monatsgebühr beinhaltet: Miete, Immobilienverwaltung, tägliche Reinigung, Möbel und Dekoration. Nur 2 Monate Kaution. Fotos nicht verbindlich.","Zürich, Kreis 11","(47.4178489, 8.5588659)",1,47.4178489, 8.5588659,
33,Motorradparkplatz zu vermieten,Uetlibergstrasse 130,8045.0,Zürich,0.0,,70.0,CHF,Parkplatz Nr. 45 per 1. Januar 2017 zu vermieten.Monatliche Miete je CHF 70.00 zuzüglich 8% Mwst,"Zürich, Kreis 3","(47.3605329, 8.5165707)",3,47.3605329, 8.5165707,
34,1.5 Zimmer Single-Wohnung im Niederdorf,Zähringerstrasse 31,8001.0,Zürich,1.5,35.0,1580.0,CHF,"Die Liegenschaft befindet sich im Niederdorf in der Nähe des Zentrals. Das Haus besitzt einen Lift, mit dem man bequem in den 1. Stock gelangt. Die Wohnung für eine Person besteht aus einem Wohn/Schlafzimmer mit Parkettboden, einer Küche und einem Bad mit WC. Heizung, Wasser, Liftservice, Cablecomanschluss und Treppenhausreinigung sind im Mietpreis inbegriffen. Im Haus befindet sich eine Waschküche zur Mitbenützung.  Die Mindestmietdauer beträgt 12 Monate, die Kündigungsfrist 3 Monate. Wird der Mietvertrag innerhalb von den ersten 12 Monaten aufgelöst wird eine Umtriebsentschädigung von Fr. 300.-- erhoben. Das Mietzinsdepot beträgt drei Monatszinse.","Zürich, Kreis 1","(47.375599, 8.54437334441113)",1,47.375599, 8.54437334441113,45.142857142857146
35,Nähe Meierhofplatz,"Riedhofstr. 60,62.70",8049.0,Zürich,0.0,46.0,70.0,CHF,Wir vermieten per sofort oder nach Vereinbarung einen Parkplatz für CHF 70.00 exkl. MWST,"Zürich, Kreis 10","(47.3812634, 8.484888)",1,47.3812634, 8.484888,1.5217391304347827
